Keyword,Volume,Difficulty,Intent,Assigned Page URL,Page Type,Gap (Y/N),Priority
research peptides,,,Commercial,/,Homepage,N,High
peptides buy uk,,,Transactional,/shop,Product Listing,N,High
uk research peptides,,,Commercial,/categories,Category Hub,N,High
semaglutide peptide uk,,,Commercial,/product/semaglutide-peptide-uk,Product Page,N,High
peptide research uk,,,Informational,/peptide-research,Guide,N,High
glp-3,,,Informational,/peptide-research,Guide,Y,Medium
buy ghrp 2,,,Transactional,/product/ghrp-2-peptide,Product Page,N,High
peptides buy,,,Transactional,/shop,Product Listing,N,High
kpv peptide,,,Commercial,/product/kpv-peptide,Product Page,N,High
igf-1 peptide,,,Commercial,/product/igf-1-peptide,Product Page,N,High
oxford peptides,,,Local/Navigational,/contact,Support/Local Landing,Y,Medium
