URL,HTTP Status,Title Tag,Meta Description,H1,Word Count,Canonical Tag,Indexability Status,Page Type
https://www.researchpeptide.uk/,200 expected,Research Peptides UK | Research-Grade Peptides,"Buy research peptides in the UK for laboratory use, with batch documentation, discreet shipping, and research-only support.",Research Peptides UK for Laboratory Research,37,https://www.researchpeptide.uk/,"index, follow",Homepage
https://www.researchpeptide.uk/shop,200 expected,Buy Research Peptides UK | Peptide Catalog,"Browse research peptides for UK laboratories, including GLP, GHRP, KPV, IGF and specialist peptide categories for research use.",Shop Peptides for Research Use,35,https://www.researchpeptide.uk/shop,"index, follow",Product Listing
https://www.researchpeptide.uk/categories,200 expected,Peptide Categories UK | Research Compound Groups,"Explore peptide categories for UK research workflows, from GLP and GHRP peptides to KPV, IGF and specialist compounds.",Research Peptide Categories,36,https://www.researchpeptide.uk/categories,"index, follow",Category Hub
https://www.researchpeptide.uk/blog,200 expected,Peptide Research Blog UK | Scientific Insights,"Read peptide research insights covering synthesis, purity, storage, GLP pathways, IGF signalling and laboratory protocol planning.",Peptide Research Insights,34,https://www.researchpeptide.uk/blog,"index, follow",Blog Hub
https://www.researchpeptide.uk/faq,200 expected,"Research Peptides FAQ UK | Purity, Storage, Shipping","Get answers about research peptide purity, storage, UK shipping, discreet packaging, payment policy and research-use restrictions.",Researcher FAQ,37,https://www.researchpeptide.uk/faq,"index, follow",FAQ
https://www.researchpeptide.uk/shipping,200 expected,Research Peptide Shipping UK | Delivery Protocols,"Review UK and international peptide shipping protocols, tracked dispatch, discreet packaging and customs responsibilities.",Shipping and Delivery,38,https://www.researchpeptide.uk/shipping,"index, follow",Support
https://www.researchpeptide.uk/contact,200 expected,Contact Research Peptides UK | Technical Support,"Contact Research Peptides UK for COA requests, bulk procurement, product stability data, shipping questions and researcher support.",Contact Research Peptides UK,31,https://www.researchpeptide.uk/contact,"index, follow",Support
https://www.researchpeptide.uk/about-us,200 expected,About Research Peptides UK | Research-Only Supplier,"Learn about Research Peptides UK, a research-only peptide supplier focused on documentation, quality controls and technical support.",About Research Peptides UK,31,https://www.researchpeptide.uk/about-us,"index, follow",Trust
https://www.researchpeptide.uk/peptide-guide,200 expected,Peptide Guide UK | Research Handling Basics,"Learn peptide basics for research settings, including synthesis, purification, storage, reconstitution and quality verification.",Peptide Guide,32,https://www.researchpeptide.uk/peptide-guide,"index, follow",Guide
https://www.researchpeptide.uk/peptide-calculator,200 expected,Peptide Calculator | Research Reconstitution Tool,"Use the peptide calculator for research planning estimates covering mass, diluent volume, concentration and target dose volume.",Peptide Calculator,29,https://www.researchpeptide.uk/peptide-calculator,"index, follow",Utility
https://www.researchpeptide.uk/coas,200 expected,COA Library UK | Peptide Batch Verification,"Search peptide Certificate of Analysis references, purity records, batch IDs, test dates and lab verification notes.",COA Library,34,https://www.researchpeptide.uk/coas,"index, follow",Trust
https://www.researchpeptide.uk/peptide-information,200 expected,Peptide Information UK | Synthesis and Purity Basics,"Explore peptide chemistry information for research use, including synthesis, solubility, purification and analytical interpretation.",Peptide Information,27,https://www.researchpeptide.uk/peptide-information,"index, follow",Guide
https://www.researchpeptide.uk/peptide-research,200 expected,"Peptide Research UK | GLP, KPV and IGF Briefs","Read research briefs on GLP peptides, KPV peptide, IGF-1 peptide, mitochondrial peptides and experimental pathway topics.",Peptide Research,30,https://www.researchpeptide.uk/peptide-research,"index, follow",Guide
